State,County,Urban,TOTALPOP,PERCENT_LOWA_Pop,LOWA_POP,PERCENT_LOWI,LOWI,PERCENT_HUNV,HUNV,PERCENT_KIDS,KIDS,PERCENT_SENIORS,SENIORS
TX,McLennan,Yes,2467,74.4,1834,30.6,438,4.8,28,2.7,68,12.8,316
TX,McMullen,No,851,100,851,20.7,176,10.1,36,23.4,199,17.9,152
TX,Maverick,No,1117,74.9,837,31.8,363,12,43,21.1,236,11.9,133
TX,Medina,No,4699,13.3,626,2,91,0.6,10,3.4,162,2.7,126
TX,Menard,No,604,61.9,374,5.5,33,0,0,9.4,57,16.2,98
TX,Milam,Yes,6916,23.2,1602,5,334,2.5,66,5.4,372,4.6,320
TX,Mills,No,2354,57.3,1348,11.6,261,1.2,10,15.4,361,11,259
TX,Nacogdoches,Yes,4415,25.3,1116,13.2,536,4.7,78,6.4,284,3.6,157
TX,Nolan,Yes,2600,60.9,1584,22.9,592,13.9,136,23.1,601,6.2,162
TX,Nueces,Yes,441,100,441,16.3,67,17.9,41,9.1,40,19,84
TX,Palo Pinto,Yes,1953,59,1153,15.4,270,13.3,116,14.2,278,13.3,259
TX,Parmer,No,5261,14.2,746,2.3,122,0.4,7,4.7,247,1.4,73
TX,Pecos,No,6430,28.2,1816,6,267,0.4,7,2.4,154,1.1,73
TX,Randall,Yes,3885,45.8,1778,8.8,339,2.8,45,12.1,471,4.5,175
TX,Real,No,3047,100,3047,21.2,629,6,75,23.4,714,20.8,634
TX,Reeves,Yes,2989,31.1,930,10.3,311,5.5,56,9.1,272,5,148
TX,Refugio,No,1098,66.6,732,13.9,152,7.1,30,18.3,201,10.1,111
TX,Runnels,Yes,2720,49.2,1339,13,359,7.5,76,15,407,8.8,239
TX,Rusk,Yes,4296,53.1,2280,9,374,3,50,12.6,539,11.8,505
TX,San Augustine,No,3380,15.4,522,3.6,122,1.3,17,4.2,141,2.7,90
TX,San Patricio,Yes,8275,29.3,2426,4.7,382,1.9,56,8.7,716,3.1,257
TX,San Saba,Yes,2824,26.7,754,3.7,101,2.4,26,7.2,203,4.8,137
TX,Scurry,No,4717,13.1,617,2.8,126,0.8,14,3.3,154,2.3,107
TX,Starr,No,1321,95.7,1264,34.1,450,9.4,45,24.1,318,16.9,223
TX,Swisher,No,1545,87.6,1354,14.5,224,3.2,18,26.8,414,12.5,193
TX,Tarrant,Yes,3457,61.8,2135,6.2,109,1.2,8,7.2,248,3.7,129
TX,Terrell,No,1081,100,1081,25.2,271,12.6,56,26.5,287,17.6,190
TX,Terry,No,2761,54.1,1493,10.2,279,1.4,13,18.4,509,6.3,173
TX,Throckmorton,No,1850,100,1850,13.5,246,4.6,35,25.2,466,20.5,380
TX,Titus,No,2057,73.8,1519,12.8,262,5.2,40,19.9,410,10.6,219
TX,Tom Green,Yes,4374,100,4374,16.2,704,5,77,30.2,1323,12,524
